annotation,Le Rouge et le Noir,Stendhal,2023-03-05T19:28:41.000,2023-03-05T19:28:41Z,Hein,"jour, Julien l'avait surpris aux genoux de la marquise de La Mole ; il lui demandait une recette de tabac pour un neveu de province."
annotation,Le Rouge et le Noir,Stendhal,2023-03-07T20:40:15.000,2023-03-07T20:40:15Z,Adhd,"Dans cette affaire de famille, comme dans celles de la politique, le marquis avait des aperçus brillants dont il s'enthousiasmait pendant trois jours. Alors un plan de conduite ne lui plaisait pas parce qu'il était étayé par de bons raisonnements ; mais les raisonnements ne trouvaient grâce à ses yeux qu'autant qu'ils appuyaient son plan favori. Pendant trois jours il travaillait avec toute l'ardeur et l'enthousiasme d'un poète à amener les choses à une certaine position ; le lendemain il n'y songeait plus."
annotation,Meditations,Marcus Aurelius,2023-04-02T22:57:07.000,2023-04-02T22:57:07Z,Og word?,God;
annotation,Meditations,Marcus Aurelius,2023-04-10T08:48:52.031,1970-01-01T00:00:00.000,Find trsltn,"Ever run the short way; and the short way is the way of nature, with perfect soundness in each word and deed as the goal. Such an aim will give you freedom from anxiety and strife, and from all compromise and artifice."
annotation,Oathbringer,Brandon Sanderson,2022-07-30T19:52:21.000,2022-07-30T19:52:21Z,Clever to creatw a technique fir fast transport as the charaters grow from being cincentrated on the local to the global,"They were only one plateau over from the warcamp,"
annotation,Nebula Awards Showcase 54,Nibedita Sen,2023-02-10T01:47:34.000,2023-02-10T01:47:34Z,Nlah blah boring   robo man god fights aliens creatures   points fornon eurocentric fantasy but thats about it,"on the Indian Ocean.
 And finally, there is peace."
annotation,Nebula Awards Showcase 54,Nibedita Sen,2023-02-09T12:13:09.000,2023-02-09T12:13:09Z,Very cool magic system,"Regent Searle’s head pastry chef, and asked only to return home to his two loves: his work and his wife.
"
annotation,Nebula Awards Showcase 54,Nibedita Sen,2023-02-09T12:16:09.000,2023-02-09T12:16:09Z,Writing styleistic," the Prince and Tranibors of our good land, and the offices of the Syphogrants below, and all those families thereof, greetings, from your poor servant in far Albion."
annotation,Nebula Awards Showcase 54,Nibedita Sen,2023-02-09T09:31:03.000,2023-02-09T09:31:03Z,Feels a bit too much like what elon thunks he is, raised my glass to the instrument of Earth’s destruction and took a sip.
annotation,Nebula Awards Showcase 54,Nibedita Sen,2023-02-09T11:51:46.000,2023-02-09T11:51:46Z,waaaay to long meh," the overwater, men flytrailing behind. Together they go to sing the "
annotation,Nebula Awards Showcase 54,Nibedita Sen,2023-02-09T23:24:16.000,2023-02-09T23:24:16Z,Cool worldbuilding  kinda rushed drama but thats ok,them as well.
annotation,Nebula Awards Showcase 54,Nibedita Sen,2023-02-09T17:45:04.000,2023-02-09T17:45:04Z,Boring confusing mediocre,serve
annotation,Nebula Awards Showcase 54,Nibedita Sen,2023-02-09T17:58:26.000,2023-02-09T17:58:26Z,Person remebers theif past lives   solves murder meh ya,Maybe we won
annotation,Nebula Awards Showcase 54,Nibedita Sen,2023-02-09T09:40:45.000,2023-02-09T09:40:45Z,Sweet love for a babay brother  man has childhood haunted house that leds to parrallell worlds snd revistit it as phd choose to give it all for kid vrother,"“I have a way out.”
 And you hold open the door."
annotation,Le Rouge Et Le Noir,Stendhal,2023-03-02T14:25:21.000,2023-03-02T14:25:21Z,?,"il eût été l’homme le plus laid, que dans cet instant il lui eût plu."
annotation,Le Rouge Et Le Noir,Stendhal,2023-03-03T09:11:47.000,2023-03-03T09:11:47Z,Quoi," se fût battu pour l’inquisition,"
annotation,To Kill a Mockingbird,Harper Lee,2023-08-20T00:02:42.000,2023-08-20T00:02:42Z,?,"  I reflected that if Miss Maudie broke down and gave it to her, Miss Stephanie couldn’t follow it anyway. Miss Maudie had once let me see it: among other things, the recipe called for one large cup of sugar.
"
annotation,To Kill a Mockingbird,Harper Lee,2023-08-20T05:22:12.000,2023-08-20T05:22:12Z,Interesting how the street is the main setting here,"When the three of us came to her house, Atticus would sweep off his hat, wave gallantly to her and say,"
annotation,In the Garden of Iden (Company),Kage Baker,2023-09-05T21:13:02.590,2023-09-05T21:13:32Z,Name under which china was known to medival europe,Cathay?
annotation,In the Garden of Iden (Company),Kage Baker,2023-09-05T22:51:23.958,1970-01-01T00:00:00.000,Interestign etymology,"viand,"
annotation,Other Minds,Peter Godfrey-Smith,2023-09-04T19:42:13.692,2023-09-04T19:42:47Z,And one of the most powerful human thng is themoment in between,"Single-celled organisms can sense and react. Much of what they do counts as behavior only in a very broad sense, but they can control how they move and what chemicals they make, in response to what they detect going on around them. In order for any organism to do this, one part of it must be receptive, able to see or smell or hear, and another part must be active, able to make something useful happen. The organism must also establish a connection of some sort, an arc, between these two parts."
annotation,Other Minds,Peter Godfrey-Smith,2023-09-04T19:45:45.000,2023-09-04T19:45:45Z,Most aliens should then have a response to light,"Much of the use of light by single-celled organisms is for solar power; like plants, they sunbathe."
annotation,Nebula Awards Showcase 2008,Ben Bova,2023-09-06T23:51:22.000,2023-09-06T23:51:22Z,5 incredible,…? I can wait.
annotation,Nebula Awards Showcase 2008,Ben Bova,2023-09-07T00:54:30.000,2023-09-07T00:54:30Z,4 loveky love story,"Amy Bellacqua and John Artopoulos married on September 18, 2004. Amy has been able to cut down on her waitressing and now works almost full time on her mosaics, and John works as a postdoc. The probabilities suggest they’re living somewhere near Fermi Lab, around Batavia, Illinois. Or maybe they’re living in Cambridge and he’s working with Arkani"
